chr1	4414660	4415069	8	9	8	12	11	11	8	11	15	32
chr1	4775042	4775798	21	12	15	21	39	27	16	20	20	51
chr1	4780113	4780434	11	10	7	15	18	9	8	11	17	13
chr1	4785444	4786067	64	85	76	96	119	62	52	91	80	147
chr1	4807461	4808310	81	83	74	96	165	74	72	88	93	176
chr1	4857396	4858717	143	146	159	156	302	133	129	196	129	298
chr1	4867502	4867971	8	39	38	38	28	8	17	38	24	15
chr1	4870541	4870873	13	7	10	12	24	12	7	16	16	25
chr1	4873356	4873726	8	12	11	21	43	6	10	11	14	14
chr1	4906852	4907562	40	41	62	69	41	54	34	66	40	44
chr1	4918575	4919048	23	13	12	16	51	26	16	24	28	70
chr1	4919260	4919481	1	3	5	4	5	4	6	9	0	9
chr1	5019190	5019611	14	12	20	16	22	10	13	25	27	24
chr1	5082826	5083606	78	71	84	99	134	80	55	102	86	144
chr1	5098301	5098544	1	7	3	5	10	8	5	14	7	14
chr1	5106533	5106994	17	8	11	10	44	34	17	24	20	55
chr1	5127621	5127867	2	1	0	1	8	2	1	0	3	14
chr1	5508394	5508922	11	17	16	14	29	12	7	23	15	33
chr1	6204782	6205098	14	14	16	17	17	19	8	13	15	16
chr1	6214172	6215622	129	120	138	169	268	122	122	168	140	228
chr1	6272067	6272611	16	23	16	21	27	20	14	13	16	28
chr1	6382662	6383258	19	16	14	14	22	17	18	21	24	27
chr1	6388975	6389175	5	2	3	5	3	6	11	4	4	9
chr1	6406256	6406871	41	59	56	55	101	42	39	53	47	76
chr1	6410052	6410455	20	33	33	31	45	25	29	31	27	42
chr1	6441295	6441518	2	3	4	3	10	3	6	5	3	13
chr1	6445314	6445712	7	14	9	8	28	7	9	13	11	31
chr1	6453630	6453932	6	5	17	11	11	9	8	18	9	14
chr1	6454007	6454656	15	41	22	27	116	29	22	44	36	78
chr1	6464847	6465416	26	21	24	17	41	28	23	22	25	28
chr1	6467043	6467380	18	18	14	11	28	11	11	11	11	26
chr1	6470847	6471051	3	4	2	5	13	8	4	6	2	14
chr1	6476432	6476886	3	20	27	23	24	2	27	28	13	13
chr1	6481301	6481647	11	11	19	19	19	11	13	19	15	24
chr1	6492806	6493286	35	27	27	28	31	26	13	29	15	31
chr1	6496627	6496933	7	12	7	6	23	7	7	8	12	24
chr1	6498879	6499261	10	29	23	18	13	16	18	15	13	16
chr1	6623929	6624979	43	46	29	41	112	36	27	48	35	119
chr1	6859038	6859425	9	13	6	15	13	11	5	7	12	23
chr1	7077893	7078197	13	2	6	7	12	11	11	9	7	14
chr1	7086080	7086346	10	14	17	13	33	17	11	15	13	50
chr1	7088457	7089450	202	226	244	248	381	236	167	264	190	372
chr1	7100537	7100932	11	21	25	18	23	8	8	13	12	7
chr1	7112863	7113317	30	20	38	14	59	23	11	28	21	71
chr1	7113997	7114215	7	11	12	7	23	4	5	8	10	14
chr1	7140611	7140811	2	1	5	4	10	1	6	1	1	12
chr1	7204825	7205100	7	14	13	8	8	7	10	13	14	9
chr1	7395532	7395814	35	44	27	21	63	45	41	39	24	50
chr1	7397377	7398482	219	253	274	280	340	255	188	354	262	357
chr1	7823951	7824401	19	27	31	27	28	27	11	35	27	19
chr1	9529729	9530136	8	17	12	13	10	10	17	26	8	13
